,FOODS
d_1,22922.0
d_2,22502.0
d_3,17174.0
d_4,18622.0
d_5,14347.0
d_6,21837.0
d_7,19978.0
d_8,27751.0
d_9,24862.0
d_10,18645.0
d_11,16707.0
d_12,17399.0
d_13,17340.0
d_14,19038.0
d_15,25187.0
d_16,26656.0
d_17,16015.0
d_18,17425.0
d_19,15351.0
d_20,14290.0
d_21,16594.0
d_22,20938.0
d_23,20028.0
d_24,16373.0
d_25,14043.0
d_26,13932.0
d_27,13733.0
d_28,15480.0
d_29,19905.0
d_30,20660.0
d_31,15066.0
d_32,16568.0
d_33,16218.0
d_34,17242.0
d_35,17512.0
d_36,23072.0
d_37,24909.0
d_38,17588.0
d_39,16280.0
d_40,16039.0
d_41,16007.0
d_42,18125.0
d_43,22545.0
d_44,22239.0
d_45,17859.0
d_46,17284.0
d_47,15685.0
d_48,15081.0
d_49,16267.0
d_50,20467.0
d_51,20289.0
d_52,15973.0
d_53,14176.0
d_54,13214.0
d_55,12959.0
d_56,15485.0
d_57,19943.0
d_58,20229.0
d_59,14704.0
d_60,13389.0
d_61,12891.0
d_62,14675.0
d_63,19357.0
d_64,22603.0
d_65,23396.0
d_66,17511.0
d_67,17253.0
d_68,16584.0
d_69,16448.0
d_70,17212.0
d_71,22221.0
d_72,22238.0
d_73,17589.0
d_74,16825.0
d_75,15232.0
d_76,15324.0
d_77,18016.0
d_78,19817.0
d_79,20547.0
d_80,15127.0
d_81,13454.0
d_82,13799.0
d_83,13741.0
d_84,16889.0
d_85,20924.0
d_86,16870.0
d_87,12922.0
d_88,11883.0
d_89,11616.0
d_90,11680.0
d_91,14714.0
d_92,17776.0
d_93,19746.0
d_94,15703.0
d_95,16581.0
d_96,14160.0
d_97,14778.0
d_98,16755.0
d_99,19679.0
d_100,16383.0
d_101,17988.0
d_102,15767.0
d_103,15180.0
d_104,15559.0
d_105,17382.0
d_106,19108.0
d_107,21766.0
d_108,15034.0
d_109,13313.0
d_110,12618.0
d_111,12732.0
d_112,14330.0
d_113,17661.0
d_114,17855.0
d_115,14392.0
d_116,13175.0
d_117,13070.0
d_118,13744.0
d_119,14825.0
d_120,17214.0
d_121,16161.0
d_122,15540.0
d_123,13042.0
d_124,15746.0
d_125,15980.0
d_126,18741.0
d_127,21155.0
d_128,22466.0
d_129,19283.0
d_130,18430.0
d_131,17456.0
d_132,17956.0
d_133,17965.0
d_134,20553.0
d_135,22662.0
d_136,18447.0
d_137,17047.0
d_138,18274.0
d_139,15713.0
d_140,17170.0
d_141,19647.0
d_142,18141.0
d_143,16915.0
d_144,15323.0
d_145,14630.0
d_146,15464.0
d_147,16530.0
d_148,17915.0
d_149,19008.0
d_150,15491.0
d_151,13457.0
d_152,13565.0
d_153,14731.0
d_154,21397.0
d_155,23387.0
d_156,21577.0
d_157,16825.0
d_158,19385.0
d_159,18922.0
d_160,19122.0
d_161,19641.0
d_162,22573.0
d_163,22079.0
d_164,19331.0
d_165,17762.0
d_166,16805.0
d_167,16738.0
d_168,19505.0
d_169,21333.0
d_170,21346.0
d_171,17203.0
d_172,15379.0
d_173,15844.0
d_174,15826.0
d_175,18194.0
d_176,20353.0
d_177,19889.0
d_178,15676.0
d_179,14496.0
d_180,14207.0
d_181,14523.0
d_182,16711.0
d_183,18794.0
d_184,19672.0
d_185,18297.0
d_186,17788.0
d_187,19290.0
d_188,16481.0
d_189,18719.0
d_190,22291.0
d_191,22867.0
d_192,19237.0
d_193,19192.0
d_194,17236.0
d_195,17803.0
d_196,20262.0
d_197,23357.0
d_198,24373.0
d_199,20767.0
d_200,17832.0
d_201,16681.0
d_202,16613.0
d_203,18594.0
d_204,21992.0
d_205,24065.0
d_206,17855.0
d_207,15800.0
d_208,15068.0
d_209,14616.0
d_210,16363.0
d_211,20449.0
d_212,21993.0
d_213,15733.0
d_214,13750.0
d_215,14788.0
d_216,18505.0
d_217,20388.0
d_218,23937.0
d_219,19081.0
d_220,21743.0
d_221,18482.0
d_222,17462.0
d_223,16918.0
d_224,19975.0
d_225,23036.0
d_226,24875.0
d_227,19155.0
d_228,17899.0
d_229,16592.0
d_230,19053.0
d_231,18696.0
d_232,22345.0
d_233,22705.0
d_234,17218.0
d_235,16017.0
d_236,15245.0
d_237,15254.0
d_238,18562.0
d_239,22717.0
d_240,23546.0
d_241,16781.0
d_242,15859.0
d_243,15712.0
d_244,15503.0
